2014-10-15 07:57:06 startup archives install
2014-10-15 07:57:08 status installed libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:08 startup archives install
2014-10-15 07:57:08 install perl-base:amd64 <none> 5.14.2-21+deb7u1
2014-10-15 07:57:08 status half-installed perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:08 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:08 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:09 configure perl-base:amd64 5.14.2-21+deb7u1 5.14.2-21+deb7u1
2014-10-15 07:57:09 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:09 status half-configured perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:09 status installed perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:09 startup archives install
2014-10-15 07:57:09 install mawk:amd64 <none> 1.3.3-17
2014-10-15 07:57:09 status half-installed mawk:amd64 1.3.3-17
2014-10-15 07:57:09 status unpacked mawk:amd64 1.3.3-17
2014-10-15 07:57:09 status unpacked mawk:amd64 1.3.3-17
2014-10-15 07:57:09 configure mawk:amd64 1.3.3-17 1.3.3-17
2014-10-15 07:57:09 status unpacked mawk:amd64 1.3.3-17
2014-10-15 07:57:09 status half-configured mawk:amd64 1.3.3-17
2014-10-15 07:57:09 status installed mawk:amd64 1.3.3-17
2014-10-15 07:57:09 startup archives install
2014-10-15 07:57:09 install debconf:all <none> 1.5.49
2014-10-15 07:57:09 status half-installed debconf:all 1.5.49
2014-10-15 07:57:09 status unpacked debconf:all 1.5.49
2014-10-15 07:57:09 status unpacked debconf:all 1.5.49
2014-10-15 07:57:09 configure debconf:all 1.5.49 1.5.49
2014-10-15 07:57:09 status unpacked debconf:all 1.5.49
2014-10-15 07:57:09 status unpacked debconf:all 1.5.49
2014-10-15 07:57:09 status unpacked debconf:all 1.5.49
2014-10-15 07:57:09 status unpacked debconf:all 1.5.49
2014-10-15 07:57:09 status half-configured debconf:all 1.5.49
2014-10-15 07:57:09 status installed debconf:all 1.5.49
2014-10-15 07:57:09 startup archives unpack
2014-10-15 07:57:09 install libacl1:amd64 <none> 2.2.51-8
2014-10-15 07:57:09 status half-installed libacl1:amd64 2.2.51-8
2014-10-15 07:57:09 status unpacked libacl1:amd64 2.2.51-8
2014-10-15 07:57:09 status unpacked libacl1:amd64 2.2.51-8
2014-10-15 07:57:09 install libattr1:amd64 <none> 1:2.4.46-8
2014-10-15 07:57:09 status half-installed libattr1:amd64 1:2.4.46-8
2014-10-15 07:57:09 status unpacked libattr1:amd64 1:2.4.46-8
2014-10-15 07:57:09 status unpacked libattr1:amd64 1:2.4.46-8
2014-10-15 07:57:09 upgrade base-files:amd64 7.1wheezy6 7.1wheezy6
2014-10-15 07:57:09 status half-configured base-files:amd64 7.1wheezy6
2014-10-15 07:57:09 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:09 status half-installed base-files:amd64 7.1wheezy6
2014-10-15 07:57:09 status half-installed base-files:amd64 7.1wheezy6
2014-10-15 07:57:09 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:09 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:09 upgrade base-passwd:amd64 3.5.26 3.5.26
2014-10-15 07:57:09 status half-configured base-passwd:amd64 3.5.26
2014-10-15 07:57:09 status unpacked base-passwd:amd64 3.5.26
2014-10-15 07:57:09 status half-installed base-passwd:amd64 3.5.26
2014-10-15 07:57:09 status half-installed base-passwd:amd64 3.5.26
2014-10-15 07:57:09 status unpacked base-passwd:amd64 3.5.26
2014-10-15 07:57:09 status unpacked base-passwd:amd64 3.5.26
2014-10-15 07:57:09 install bash:amd64 <none> 4.2+dfsg-0.1
2014-10-15 07:57:09 status half-installed bash:amd64 4.2+dfsg-0.1
2014-10-15 07:57:09 status unpacked bash:amd64 4.2+dfsg-0.1
2014-10-15 07:57:09 status unpacked bash:amd64 4.2+dfsg-0.1
2014-10-15 07:57:09 install libbz2-1.0:amd64 <none> 1.0.6-4
2014-10-15 07:57:09 status half-installed libbz2-1.0:amd64 1.0.6-4
2014-10-15 07:57:09 status unpacked libbz2-1.0:amd64 1.0.6-4
2014-10-15 07:57:09 status unpacked libbz2-1.0:amd64 1.0.6-4
2014-10-15 07:57:09 install coreutils:amd64 <none> 8.13-3.5
2014-10-15 07:57:09 status half-installed coreutils:amd64 8.13-3.5
2014-10-15 07:57:10 status unpacked coreutils:amd64 8.13-3.5
2014-10-15 07:57:10 status unpacked coreutils:amd64 8.13-3.5
2014-10-15 07:57:10 install dash:amd64 <none> 0.5.7-3
2014-10-15 07:57:10 status half-installed dash:amd64 0.5.7-3
2014-10-15 07:57:10 status unpacked dash:amd64 0.5.7-3
2014-10-15 07:57:10 status unpacked dash:amd64 0.5.7-3
2014-10-15 07:57:10 install libdb5.1:amd64 <none> 5.1.29-5
2014-10-15 07:57:10 status half-installed libdb5.1:amd64 5.1.29-5
2014-10-15 07:57:10 status unpacked libdb5.1:amd64 5.1.29-5
2014-10-15 07:57:10 status unpacked libdb5.1:amd64 5.1.29-5
2014-10-15 07:57:10 upgrade debconf:all 1.5.49 1.5.49
2014-10-15 07:57:10 status half-configured debconf:all 1.5.49
2014-10-15 07:57:10 status unpacked debconf:all 1.5.49
2014-10-15 07:57:10 status half-installed debconf:all 1.5.49
2014-10-15 07:57:10 status half-installed debconf:all 1.5.49
2014-10-15 07:57:10 status unpacked debconf:all 1.5.49
2014-10-15 07:57:10 status unpacked debconf:all 1.5.49
2014-10-15 07:57:10 install debconf-i18n:all <none> 1.5.49
2014-10-15 07:57:10 status half-installed debconf-i18n:all 1.5.49
2014-10-15 07:57:10 status unpacked debconf-i18n:all 1.5.49
2014-10-15 07:57:10 status unpacked debconf-i18n:all 1.5.49
2014-10-15 07:57:10 install debianutils:amd64 <none> 4.3.2
2014-10-15 07:57:10 status half-installed debianutils:amd64 4.3.2
2014-10-15 07:57:10 status unpacked debianutils:amd64 4.3.2
2014-10-15 07:57:10 status unpacked debianutils:amd64 4.3.2
2014-10-15 07:57:10 install diffutils:amd64 <none> 1:3.2-6
2014-10-15 07:57:10 status half-installed diffutils:amd64 1:3.2-6
2014-10-15 07:57:10 status unpacked diffutils:amd64 1:3.2-6
2014-10-15 07:57:10 status unpacked diffutils:amd64 1:3.2-6
2014-10-15 07:57:10 upgrade dpkg:amd64 1.16.15 1.16.15
2014-10-15 07:57:10 status half-configured dpkg:amd64 1.16.15
2014-10-15 07:57:10 status unpacked dpkg:amd64 1.16.15
2014-10-15 07:57:10 status half-installed dpkg:amd64 1.16.15
2014-10-15 07:57:10 status half-installed dpkg:amd64 1.16.15
2014-10-15 07:57:10 status unpacked dpkg:amd64 1.16.15
2014-10-15 07:57:10 status unpacked dpkg:amd64 1.16.15
2014-10-15 07:57:10 install e2fslibs:amd64 <none> 1.42.5-1.1
2014-10-15 07:57:10 status half-installed e2fslibs:amd64 1.42.5-1.1
2014-10-15 07:57:10 status unpacked e2fslibs:amd64 1.42.5-1.1
2014-10-15 07:57:10 status unpacked e2fslibs:amd64 1.42.5-1.1
2014-10-15 07:57:10 install e2fsprogs:amd64 <none> 1.42.5-1.1
2014-10-15 07:57:10 status half-installed e2fsprogs:amd64 1.42.5-1.1
2014-10-15 07:57:10 status unpacked e2fsprogs:amd64 1.42.5-1.1
2014-10-15 07:57:10 status unpacked e2fsprogs:amd64 1.42.5-1.1
2014-10-15 07:57:10 install libcomerr2:amd64 <none> 1.42.5-1.1
2014-10-15 07:57:10 status half-installed libcomerr2:amd64 1.42.5-1.1
2014-10-15 07:57:10 status unpacked libcomerr2:amd64 1.42.5-1.1
2014-10-15 07:57:10 status unpacked libcomerr2:amd64 1.42.5-1.1
2014-10-15 07:57:10 install libss2:amd64 <none> 1.42.5-1.1
2014-10-15 07:57:10 status half-installed libss2:amd64 1.42.5-1.1
2014-10-15 07:57:10 status unpacked libss2:amd64 1.42.5-1.1
2014-10-15 07:57:10 status unpacked libss2:amd64 1.42.5-1.1
2014-10-15 07:57:10 install libc-bin:amd64 <none> 2.13-38+deb7u2
2014-10-15 07:57:10 status half-installed libc-bin:amd64 2.13-38+deb7u2
2014-10-15 07:57:10 status unpacked libc-bin:amd64 2.13-38+deb7u2
2014-10-15 07:57:10 status unpacked libc-bin:amd64 2.13-38+deb7u2
2014-10-15 07:57:10 upgrade libc6:amd64 2.13-38+deb7u2 2.13-38+deb7u2
2014-10-15 07:57:10 status half-configured libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:10 status unpacked libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:10 status half-installed libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:11 status half-installed libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:11 status unpacked libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:11 status unpacked libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:11 install findutils:amd64 <none> 4.4.2-4
2014-10-15 07:57:11 status half-installed findutils:amd64 4.4.2-4
2014-10-15 07:57:11 status unpacked findutils:amd64 4.4.2-4
2014-10-15 07:57:11 status unpacked findutils:amd64 4.4.2-4
2014-10-15 07:57:11 install gcc-4.7-base:amd64 <none> 4.7.2-5
2014-10-15 07:57:11 status half-installed gcc-4.7-base:amd64 4.7.2-5
2014-10-15 07:57:11 status unpacked gcc-4.7-base:amd64 4.7.2-5
2014-10-15 07:57:11 status unpacked gcc-4.7-base:amd64 4.7.2-5
2014-10-15 07:57:11 install libgcc1:amd64 <none> 1:4.7.2-5
2014-10-15 07:57:11 status half-installed libgcc1:amd64 1:4.7.2-5
2014-10-15 07:57:11 status unpacked libgcc1:amd64 1:4.7.2-5
2014-10-15 07:57:11 status unpacked libgcc1:amd64 1:4.7.2-5
2014-10-15 07:57:11 install grep:amd64 <none> 2.12-2
2014-10-15 07:57:11 status half-installed grep:amd64 2.12-2
2014-10-15 07:57:11 status unpacked grep:amd64 2.12-2
2014-10-15 07:57:11 status unpacked grep:amd64 2.12-2
2014-10-15 07:57:11 install gzip:amd64 <none> 1.5-1.1
2014-10-15 07:57:11 status half-installed gzip:amd64 1.5-1.1
2014-10-15 07:57:11 status unpacked gzip:amd64 1.5-1.1
2014-10-15 07:57:11 status unpacked gzip:amd64 1.5-1.1
2014-10-15 07:57:11 install hostname:amd64 <none> 3.11
2014-10-15 07:57:11 status half-installed hostname:amd64 3.11
2014-10-15 07:57:11 status unpacked hostname:amd64 3.11
2014-10-15 07:57:11 status unpacked hostname:amd64 3.11
2014-10-15 07:57:11 install insserv:amd64 <none> 1.14.0-5
2014-10-15 07:57:11 status half-installed insserv:amd64 1.14.0-5
2014-10-15 07:57:11 status unpacked insserv:amd64 1.14.0-5
2014-10-15 07:57:11 status unpacked insserv:amd64 1.14.0-5
2014-10-15 07:57:11 install liblocale-gettext-perl:amd64 <none> 1.05-7+b1
2014-10-15 07:57:11 status half-installed liblocale-gettext-perl:amd64 1.05-7+b1
2014-10-15 07:57:11 status unpacked liblocale-gettext-perl:amd64 1.05-7+b1
2014-10-15 07:57:11 status unpacked liblocale-gettext-perl:amd64 1.05-7+b1
2014-10-15 07:57:11 install libselinux1:amd64 <none> 2.1.9-5
2014-10-15 07:57:11 status half-installed libselinux1:amd64 2.1.9-5
2014-10-15 07:57:11 status unpacked libselinux1:amd64 2.1.9-5
2014-10-15 07:57:11 status unpacked libselinux1:amd64 2.1.9-5
2014-10-15 07:57:11 install libsemanage-common:all <none> 2.1.6-6
2014-10-15 07:57:11 status half-installed libsemanage-common:all 2.1.6-6
2014-10-15 07:57:11 status unpacked libsemanage-common:all 2.1.6-6
2014-10-15 07:57:11 status unpacked libsemanage-common:all 2.1.6-6
2014-10-15 07:57:11 install libsemanage1:amd64 <none> 2.1.6-6
2014-10-15 07:57:11 status half-installed libsemanage1:amd64 2.1.6-6
2014-10-15 07:57:11 status unpacked libsemanage1:amd64 2.1.6-6
2014-10-15 07:57:11 status unpacked libsemanage1:amd64 2.1.6-6
2014-10-15 07:57:11 install libsepol1:amd64 <none> 2.1.4-3
2014-10-15 07:57:11 status half-installed libsepol1:amd64 2.1.4-3
2014-10-15 07:57:11 status unpacked libsepol1:amd64 2.1.4-3
2014-10-15 07:57:11 status unpacked libsepol1:amd64 2.1.4-3
2014-10-15 07:57:11 install libtext-charwidth-perl:amd64 <none> 0.04-7+b1
2014-10-15 07:57:11 status half-installed libtext-charwidth-perl:amd64 0.04-7+b1
2014-10-15 07:57:11 status unpacked libtext-charwidth-perl:amd64 0.04-7+b1
2014-10-15 07:57:11 status unpacked libtext-charwidth-perl:amd64 0.04-7+b1
2014-10-15 07:57:11 install libtext-iconv-perl:amd64 <none> 1.7-5
2014-10-15 07:57:11 status half-installed libtext-iconv-perl:amd64 1.7-5
2014-10-15 07:57:11 status unpacked libtext-iconv-perl:amd64 1.7-5
2014-10-15 07:57:11 status unpacked libtext-iconv-perl:amd64 1.7-5
2014-10-15 07:57:11 install libtext-wrapi18n-perl:all <none> 0.06-7
2014-10-15 07:57:11 status half-installed libtext-wrapi18n-perl:all 0.06-7
2014-10-15 07:57:11 status unpacked libtext-wrapi18n-perl:all 0.06-7
2014-10-15 07:57:11 status unpacked libtext-wrapi18n-perl:all 0.06-7
2014-10-15 07:57:11 install libncurses5:amd64 <none> 5.9-10
2014-10-15 07:57:11 status half-installed libncurses5:amd64 5.9-10
2014-10-15 07:57:11 status unpacked libncurses5:amd64 5.9-10
2014-10-15 07:57:11 status unpacked libncurses5:amd64 5.9-10
2014-10-15 07:57:11 install libtinfo5:amd64 <none> 5.9-10
2014-10-15 07:57:11 status half-installed libtinfo5:amd64 5.9-10
2014-10-15 07:57:11 status unpacked libtinfo5:amd64 5.9-10
2014-10-15 07:57:11 status unpacked libtinfo5:amd64 5.9-10
2014-10-15 07:57:11 install libpam-modules:amd64 <none> 1.1.3-7.1
2014-10-15 07:57:11 status half-installed libpam-modules:amd64 1.1.3-7.1
2014-10-15 07:57:11 status unpacked libpam-modules:amd64 1.1.3-7.1
2014-10-15 07:57:11 status unpacked libpam-modules:amd64 1.1.3-7.1
2014-10-15 07:57:11 install libpam-modules-bin:amd64 <none> 1.1.3-7.1
2014-10-15 07:57:11 status half-installed libpam-modules-bin:amd64 1.1.3-7.1
2014-10-15 07:57:11 status unpacked libpam-modules-bin:amd64 1.1.3-7.1
2014-10-15 07:57:11 status unpacked libpam-modules-bin:amd64 1.1.3-7.1
2014-10-15 07:57:11 install libpam-runtime:all <none> 1.1.3-7.1
2014-10-15 07:57:11 status half-installed libpam-runtime:all 1.1.3-7.1
2014-10-15 07:57:11 status unpacked libpam-runtime:all 1.1.3-7.1
2014-10-15 07:57:11 status unpacked libpam-runtime:all 1.1.3-7.1
2014-10-15 07:57:11 install libpam0g:amd64 <none> 1.1.3-7.1
2014-10-15 07:57:11 status half-installed libpam0g:amd64 1.1.3-7.1
2014-10-15 07:57:12 status unpacked libpam0g:amd64 1.1.3-7.1
2014-10-15 07:57:12 status unpacked libpam0g:amd64 1.1.3-7.1
2014-10-15 07:57:12 install login:amd64 <none> 1:4.1.5.1-1
2014-10-15 07:57:12 status half-installed login:amd64 1:4.1.5.1-1
2014-10-15 07:57:12 status unpacked login:amd64 1:4.1.5.1-1
2014-10-15 07:57:12 status unpacked login:amd64 1:4.1.5.1-1
2014-10-15 07:57:12 install libslang2:amd64 <none> 2.2.4-15
2014-10-15 07:57:12 status half-installed libslang2:amd64 2.2.4-15
2014-10-15 07:57:12 status unpacked libslang2:amd64 2.2.4-15
2014-10-15 07:57:12 status unpacked libslang2:amd64 2.2.4-15
2014-10-15 07:57:12 install initscripts:amd64 <none> 2.88dsf-41+deb7u1
2014-10-15 07:57:12 status half-installed initscripts:amd64 2.88dsf-41+deb7u1
2014-10-15 07:57:12 status unpacked initscripts:amd64 2.88dsf-41+deb7u1
2014-10-15 07:57:12 status unpacked initscripts:amd64 2.88dsf-41+deb7u1
2014-10-15 07:57:12 install libustr-1.0-1:amd64 <none> 1.0.4-3
2014-10-15 07:57:12 status half-installed libustr-1.0-1:amd64 1.0.4-3
2014-10-15 07:57:12 status unpacked libustr-1.0-1:amd64 1.0.4-3
2014-10-15 07:57:12 status unpacked libustr-1.0-1:amd64 1.0.4-3
2014-10-15 07:57:12 install bsdutils:amd64 <none> 1:2.20.1-5.3
2014-10-15 07:57:12 status half-installed bsdutils:amd64 1:2.20.1-5.3
2014-10-15 07:57:12 status unpacked bsdutils:amd64 1:2.20.1-5.3
2014-10-15 07:57:12 status unpacked bsdutils:amd64 1:2.20.1-5.3
2014-10-15 07:57:12 install libblkid1:amd64 <none> 2.20.1-5.3
2014-10-15 07:57:12 status half-installed libblkid1:amd64 2.20.1-5.3
2014-10-15 07:57:12 status unpacked libblkid1:amd64 2.20.1-5.3
2014-10-15 07:57:12 status unpacked libblkid1:amd64 2.20.1-5.3
2014-10-15 07:57:12 install libmount1:amd64 <none> 2.20.1-5.3
2014-10-15 07:57:12 status half-installed libmount1:amd64 2.20.1-5.3
2014-10-15 07:57:12 status unpacked libmount1:amd64 2.20.1-5.3
2014-10-15 07:57:12 status unpacked libmount1:amd64 2.20.1-5.3
2014-10-15 07:57:12 install libuuid1:amd64 <none> 2.20.1-5.3
2014-10-15 07:57:12 status half-installed libuuid1:amd64 2.20.1-5.3
2014-10-15 07:57:12 status unpacked libuuid1:amd64 2.20.1-5.3
2014-10-15 07:57:12 status unpacked libuuid1:amd64 2.20.1-5.3
2014-10-15 07:57:12 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2
2014-10-15 07:57:12 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2
2014-10-15 07:57:12 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2
2014-10-15 07:57:12 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2
2014-10-15 07:57:12 install multiarch-support:amd64 <none> 2.13-38+deb7u2
2014-10-15 07:57:12 status half-installed multiarch-support:amd64 2.13-38+deb7u2
2014-10-15 07:57:12 status unpacked multiarch-support:amd64 2.13-38+deb7u2
2014-10-15 07:57:12 status unpacked multiarch-support:amd64 2.13-38+deb7u2
2014-10-15 07:57:12 install lsb-base:all <none> 4.1+Debian8+deb7u1
2014-10-15 07:57:12 status half-installed lsb-base:all 4.1+Debian8+deb7u1
2014-10-15 07:57:12 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-10-15 07:57:12 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-10-15 07:57:12 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2014-10-15 07:57:12 status half-configured mawk:amd64 1.3.3-17
2014-10-15 07:57:12 status unpacked mawk:amd64 1.3.3-17
2014-10-15 07:57:12 status half-installed mawk:amd64 1.3.3-17
2014-10-15 07:57:12 status half-installed mawk:amd64 1.3.3-17
2014-10-15 07:57:12 status unpacked mawk:amd64 1.3.3-17
2014-10-15 07:57:12 status unpacked mawk:amd64 1.3.3-17
2014-10-15 07:57:12 install ncurses-base:all <none> 5.9-10
2014-10-15 07:57:12 status half-installed ncurses-base:all 5.9-10
2014-10-15 07:57:12 status unpacked ncurses-base:all 5.9-10
2014-10-15 07:57:12 status unpacked ncurses-base:all 5.9-10
2014-10-15 07:57:12 install ncurses-bin:amd64 <none> 5.9-10
2014-10-15 07:57:12 status half-installed ncurses-bin:amd64 5.9-10
2014-10-15 07:57:12 status unpacked ncurses-bin:amd64 5.9-10
2014-10-15 07:57:12 status unpacked ncurses-bin:amd64 5.9-10
2014-10-15 07:57:12 upgrade perl-base:amd64 5.14.2-21+deb7u1 5.14.2-21+deb7u1
2014-10-15 07:57:12 status half-configured perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:12 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:12 status half-installed perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:12 status half-installed perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:12 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:12 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-10-15 07:57:12 install sed:amd64 <none> 4.2.1-10
2014-10-15 07:57:12 status half-installed sed:amd64 4.2.1-10
2014-10-15 07:57:12 status unpacked sed:amd64 4.2.1-10
2014-10-15 07:57:12 status unpacked sed:amd64 4.2.1-10
2014-10-15 07:57:12 install sensible-utils:all <none> 0.0.7
2014-10-15 07:57:12 status half-installed sensible-utils:all 0.0.7
2014-10-15 07:57:12 status unpacked sensible-utils:all 0.0.7
2014-10-15 07:57:12 status unpacked sensible-utils:all 0.0.7
2014-10-15 07:57:12 install passwd:amd64 <none> 1:4.1.5.1-1
2014-10-15 07:57:12 status half-installed passwd:amd64 1:4.1.5.1-1
2014-10-15 07:57:13 status unpacked passwd:amd64 1:4.1.5.1-1
2014-10-15 07:57:13 status unpacked passwd:amd64 1:4.1.5.1-1
2014-10-15 07:57:13 install sysv-rc:all <none> 2.88dsf-41+deb7u1
2014-10-15 07:57:13 status half-installed sysv-rc:all 2.88dsf-41+deb7u1
2014-10-15 07:57:13 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2014-10-15 07:57:13 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2014-10-15 07:57:13 install sysvinit:amd64 <none> 2.88dsf-41+deb7u1
2014-10-15 07:57:13 status half-installed sysvinit:amd64 2.88dsf-41+deb7u1
2014-10-15 07:57:13 status unpacked sysvinit:amd64 2.88dsf-41+deb7u1
2014-10-15 07:57:13 status unpacked sysvinit:amd64 2.88dsf-41+deb7u1
2014-10-15 07:57:13 install sysvinit-utils:amd64 <none> 2.88dsf-41+deb7u1
2014-10-15 07:57:13 status half-installed sysvinit-utils:amd64 2.88dsf-41+deb7u1
2014-10-15 07:57:13 status unpacked sysvinit-utils:amd64 2.88dsf-41+deb7u1
2014-10-15 07:57:13 status unpacked sysvinit-utils:amd64 2.88dsf-41+deb7u1
2014-10-15 07:57:13 install tar:amd64 <none> 1.26+dfsg-0.1
2014-10-15 07:57:13 status half-installed tar:amd64 1.26+dfsg-0.1
2014-10-15 07:57:13 status unpacked tar:amd64 1.26+dfsg-0.1
2014-10-15 07:57:13 status unpacked tar:amd64 1.26+dfsg-0.1
2014-10-15 07:57:13 install tzdata:all <none> 2014e-0wheezy1
2014-10-15 07:57:13 status half-installed tzdata:all 2014e-0wheezy1
2014-10-15 07:57:13 status unpacked tzdata:all 2014e-0wheezy1
2014-10-15 07:57:13 status unpacked tzdata:all 2014e-0wheezy1
2014-10-15 07:57:13 install mount:amd64 <none> 2.20.1-5.3
2014-10-15 07:57:13 status half-installed mount:amd64 2.20.1-5.3
2014-10-15 07:57:13 status unpacked mount:amd64 2.20.1-5.3
2014-10-15 07:57:13 status unpacked mount:amd64 2.20.1-5.3
2014-10-15 07:57:13 install util-linux:amd64 <none> 2.20.1-5.3
2014-10-15 07:57:13 status half-installed util-linux:amd64 2.20.1-5.3
2014-10-15 07:57:13 status unpacked util-linux:amd64 2.20.1-5.3
2014-10-15 07:57:13 status unpacked util-linux:amd64 2.20.1-5.3
2014-10-15 07:57:13 install xz-utils:amd64 <none> 5.1.1alpha+20120614-2
2014-10-15 07:57:13 status half-installed xz-utils:amd64 5.1.1alpha+20120614-2
2014-10-15 07:57:13 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2
2014-10-15 07:57:13 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2
2014-10-15 07:57:13 install zlib1g:amd64 <none> 1:1.2.7.dfsg-13
2014-10-15 07:57:13 status half-installed zlib1g:amd64 1:1.2.7.dfsg-13
2014-10-15 07:57:13 status unpacked zlib1g:amd64 1:1.2.7.dfsg-13
2014-10-15 07:57:13 status unpacked zlib1g:amd64 1:1.2.7.dfsg-13
2014-10-15 07:57:13 startup packages configure
2014-10-15 07:57:13 configure lsb-base:all 4.1+Debian8+deb7u1 <none>
2014-10-15 07:57:13 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-10-15 07:57:13 status half-configured lsb-base:all 4.1+Debian8+deb7u1
2014-10-15 07:57:13 status installed lsb-base:all 4.1+Debian8+deb7u1
2014-10-15 07:57:13 configure ncurses-base:all 5.9-10 <none>
2014-10-15 07:57:13 status unpacked ncurses-base:all 5.9-10
2014-10-15 07:57:13 status unpacked ncurses-base:all 5.9-10
2014-10-15 07:57:13 status half-configured ncurses-base:all 5.9-10
2014-10-15 07:57:13 status installed ncurses-base:all 5.9-10
2014-10-15 07:57:13 configure sensible-utils:all 0.0.7 <none>
